timestamp,temperature,humidity,lumiere,co2,sol
2025-04-01 00:00:00,18.4,95.0,0.0,800.0,50.0
2025-04-01 00:05:00,18.5,95.0,0.0,800.0,50.0
2025-04-01 00:10:00,18.2,95.0,0.0,800.0,50.0
2025-04-01 00:15:00,18.9,95.0,0.0,800.0,50.0
2025-04-01 00:20:00,18.2,95.0,0.0,800.0,50.0
2025-04-01 00:25:00,18.2,95.0,0.0,800.0,50.0
2025-04-01 00:30:00,18.5,94.7,0.0,800.0,50.0
2025-04-01 00:35:00,17.8,95.0,0.0,800.0,50.0
2025-04-01 00:40:00,18.1,95.0,0.0,800.0,50.0
2025-04-01 00:45:00,18.2,95.0,0.0,800.0,50.0
2025-04-01 00:50:00,19.2,95.0,0.0,800.0,50.0
2025-04-01 00:55:00,18.7,94.7,0.0,800.0,50.0
2025-04-01 01:00:00,18.5,95.0,0.0,800.0,50.0
2025-04-01 01:05:00,18.3,95.0,0.0,800.0,50.0
2025-04-01 01:10:00,18.6,95.0,0.0,800.0,50.0
2025-04-01 01:15:00,18.7,95.0,0.0,800.0,50.0
2025-04-01 01:20:00,18.9,94.3,0.0,800.0,50.0
2025-04-01 01:25:00,19.3,93.7,0.0,800.0,50.0
2025-04-01 01:30:00,19.2,91.9,0.0,800.0,50.0
2025-04-01 01:35:00,18.6,95.0,0.0,800.0,50.0
2025-04-01 01:40:00,19.5,95.0,0.0,800.0,50.0
2025-04-01 01:45:00,19.2,94.4,0.0,800.0,50.0
2025-04-01 01:50:00,18.8,93.3,0.0,800.0,50.0
2025-04-01 01:55:00,19.3,95.0,0.0,800.0,50.0
2025-04-01 02:00:00,19.7,90.6,0.0,800.0,50.0
2025-04-01 02:05:00,19.7,93.1,0.0,800.0,50.0
2025-04-01 02:10:00,19.4,94.7,0.0,800.0,50.0
2025-04-01 02:15:00,20.2,95.0,0.0,800.0,50.0
2025-04-01 02:20:00,19.5,92.2,0.0,800.0,50.0
2025-04-01 02:25:00,20.1,94.5,0.0,800.0,50.0
2025-04-01 02:30:00,19.8,91.8,0.0,800.0,50.0
2025-04-01 02:35:00,19.7,89.4,0.0,800.0,50.0
2025-04-01 02:40:00,20.5,94.2,0.0,800.0,50.0
2025-04-01 02:45:00,20.2,93.1,0.0,800.0,50.0
2025-04-01 02:50:00,20.5,89.5,0.0,800.0,50.0
